City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marabba,SD,12.35,32.1833,78.04,69,83,13.42,broken clouds
1,Tiksi,RU,71.6872,128.8694,45.82,76,80,7.58,broken clouds
2,Lebu,CL,-37.6167,-73.65,52.45,96,100,12.12,overcast clouds
3,Touros,BR,-5.1989,-35.4608,71.65,93,100,9.28,overcast clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,82,75,8.05,broken clouds
5,Thinadhoo,MV,0.5333,72.9333,78.91,84,100,17.58,overcast clouds
6,Bredasdorp,ZA,-34.5322,20.0403,47.23,74,100,5.32,overcast clouds
7,Watertown,US,42.3709,-71.1828,78.33,79,0,4.61,clear sky
8,Ushuaia,AR,-54.8,-68.3,31.66,93,75,26.46,snow
9,Geraldton,AU,-28.7667,114.6,66.61,59,40,6.91,scattered clouds
10,Rikitea,PF,-23.1203,-134.9692,73.4,80,100,19.3,light rain
11,Lahaina,US,20.8783,-156.6825,80.6,87,8,11.18,clear sky
12,Mahebourg,MU,-20.4081,57.7,68.29,83,75,16.11,broken clouds
13,Berlevag,NO,70.8578,29.0864,53.6,87,75,19.57,broken clouds
14,Sungaipenuh,ID,-2.0833,101.3833,74.1,82,88,1.05,overcast clouds
15,Bluff,NZ,-46.6,168.3333,41.81,70,99,10.18,overcast clouds
16,Airai,TL,-8.9266,125.4092,71.38,41,35,3.4,scattered clouds
17,Mataura,NZ,-46.1927,168.8643,41.49,97,88,2.59,overcast clouds
18,Tabou,CI,4.423,-7.3528,73.96,72,86,5.12,overcast clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,66.54,99,42,6.78,light rain
20,Upernavik,GL,72.7868,-56.1549,43.66,95,100,29.48,moderate rain
21,Tabuk,PH,17.4189,121.4443,91.35,56,1,4.12,clear sky
22,Mar Del Plata,AR,-38.0023,-57.5575,48.87,69,0,11.01,clear sky
23,Okato,NZ,-39.2,173.8833,52.18,57,29,8.01,scattered clouds
24,Laguna,US,38.421,-121.4238,81.39,39,0,8.05,clear sky
25,Ixtapa,MX,20.7,-105.2,85.23,84,0,5.75,clear sky
26,Atuona,PF,-9.8,-139.0333,77.43,69,1,14.76,clear sky
27,Sitka,US,57.0531,-135.33,55.29,82,100,3.44,light intensity drizzle
28,Cabo San Lucas,MX,22.8909,-109.9124,89.62,71,2,10.8,clear sky
29,Hithadhoo,MV,-0.6,73.0833,76.95,89,100,11.99,light rain
30,Dikson,RU,73.5069,80.5464,49.62,80,27,9.22,light rain
31,Busselton,AU,-33.65,115.3333,62.35,77,98,12.39,overcast clouds
32,Mogadishu,SO,2.0371,45.3438,76.87,73,75,20.71,broken clouds
33,Altay,CN,47.8667,88.1167,77.29,35,94,5.48,overcast clouds
34,Taseyevo,RU,57.2169,94.8978,80.78,36,65,9.55,broken clouds
35,Batagay-Alyta,RU,67.8006,130.4114,72.99,47,30,10.25,scattered clouds
36,Cherskiy,RU,68.75,161.3,40.86,71,100,14.09,overcast clouds
37,Olafsvik,IS,64.8945,-23.7142,51.39,92,100,5.99,overcast clouds
38,Male,MV,4.1748,73.5089,84.15,74,75,26.46,broken clouds
39,Ponta Do Sol,PT,32.6667,-17.1,68.72,74,8,6.69,clear sky
40,Severo-Kurilsk,RU,50.6789,156.125,52.81,94,100,20.76,moderate rain
41,Saint George,US,37.1041,-113.5841,99.19,18,0,4.61,clear sky
42,Requena,ES,39.4883,-1.1004,65.79,63,0,1.72,clear sky
43,Khingansk,RU,49.1167,131.1833,72.66,59,59,4.7,broken clouds
44,Saint-Augustin,CA,51.226,-58.6502,58.62,75,99,5.14,overcast clouds
45,Qaanaaq,GL,77.484,-69.3632,44.06,91,100,8.75,light rain
46,Lambarene,GA,-0.7001,10.2406,70.27,91,95,5.57,overcast clouds
47,Benjamin Hill,MX,30.1667,-111.1,88.48,44,41,3.69,scattered clouds
48,Adrar,MR,20.5022,-10.0711,86.27,45,14,10.49,few clouds
49,Castro,BR,-24.7911,-50.0119,57.88,86,100,2.17,overcast clouds
50,Honningsvag,NO,70.9821,25.9704,53.35,87,100,17.27,overcast clouds
51,Yellowknife,CA,62.456,-114.3525,61.32,59,75,2.3,broken clouds
52,Port Alfred,ZA,-33.5906,26.891,56.75,74,59,10.78,broken clouds
53,East London,ZA,-33.0153,27.9116,52.74,87,0,9.22,clear sky
54,Simpang,ID,-1.2667,104.0833,84.0,74,100,4.52,moderate rain
55,Vaini,TO,-21.2,-175.2,75.36,88,20,8.05,few clouds
56,Nador,MA,35.174,-2.9287,75.45,88,75,0.0,broken clouds
57,Mbanza-Ngungu,CD,-5.25,14.8667,63.09,89,64,6.44,broken clouds
58,Faanui,PF,-16.4833,-151.75,77.22,73,15,11.54,light rain
59,Nikolskoye,RU,59.7035,30.7861,73.87,59,42,4.29,scattered clouds
60,Salalah,OM,17.0151,54.0924,77.09,94,100,6.91,overcast clouds
61,Tazovskiy,RU,67.4667,78.7,50.31,63,99,8.7,overcast clouds
62,Lata,PT,40.1629,-8.3327,58.53,89,69,1.16,broken clouds
63,Jamestown,US,42.097,-79.2353,72.52,79,40,6.91,scattered clouds
64,Lancaster,US,40.2504,-76.2499,78.3,80,0,3.44,clear sky
65,Ilulissat,GL,69.2167,-51.1,53.62,66,75,3.44,broken clouds
66,Pevek,RU,69.7008,170.3133,31.87,100,100,8.55,light snow
67,Cape Town,ZA,-33.9258,18.4232,57.38,85,100,5.75,mist
68,Hermanus,ZA,-34.4187,19.2345,53.17,73,100,6.35,overcast clouds
69,Buloh Kasap,MY,2.5536,102.764,89.08,60,100,1.99,moderate rain
70,Mackay,AU,-21.15,149.2,73.69,57,5,9.42,clear sky
71,Narsaq,GL,60.9167,-46.05,46.62,75,14,4.03,few clouds
72,Bandarbeyla,SO,9.4942,50.8122,83.61,54,65,28.86,broken clouds
73,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,85,73,1.61,broken clouds
74,Tasiilaq,GL,65.6145,-37.6368,33.96,83,84,1.86,broken clouds
75,Chokurdakh,RU,70.6333,147.9167,63.86,26,75,9.44,broken clouds
76,Ginir,ET,7.1333,40.7,63.0,64,63,14.16,broken clouds
77,Tura,IN,25.5198,90.2201,80.33,90,100,1.81,overcast clouds
78,Victor Harbor,AU,-35.5667,138.6167,59.68,76,100,10.33,light rain
79,Cayenne,GF,4.9333,-52.3333,75.24,1,100,1.14,overcast clouds
80,Bayburt,TR,40.2589,40.2278,59.07,73,100,3.22,overcast clouds
81,Benghazi,LY,32.1167,20.0667,79.52,65,0,13.27,clear sky
82,Husavik,IS,66.0449,-17.3389,48.58,88,67,3.27,broken clouds
83,Puerto Escondido,MX,15.85,-97.0667,79.23,86,93,2.95,overcast clouds
84,Bambanglipuro,ID,-7.95,110.2833,80.69,71,98,14.2,overcast clouds
85,Provideniya,RU,64.3833,-173.3,44.71,81,100,22.37,overcast clouds
86,Saint-Paul,RE,-21.0096,55.2707,73.51,55,3,2.91,clear sky
87,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,63.19,77,75,15.66,light rain
88,Esperance,AU,-33.8667,121.9,57.04,65,61,17.72,broken clouds
89,Kousseri,CM,12.0769,15.0306,76.96,88,20,4.61,thunderstorm
90,Pervomayskoye,RU,43.919,46.7102,75.31,40,100,13.22,overcast clouds
91,Bud,US,39.447,-86.1758,77.05,84,0,7.45,clear sky
92,Barrow,US,71.2906,-156.7887,39.22,87,100,18.41,mist
93,Hasaki,JP,35.7333,140.8333,91.29,87,14,19.08,light rain
94,Ulladulla,AU,-35.35,150.4667,57.18,79,66,8.01,broken clouds
95,Palmer,US,42.1584,-72.3287,76.21,84,0,0.0,clear sky
96,Leningradskiy,RU,69.3833,178.4167,34.14,97,100,3.96,overcast clouds
97,Souillac,MU,-20.5167,57.5167,68.38,83,75,16.11,light rain
98,Vao,NC,-22.6667,167.4833,74.3,88,100,17.76,overcast clouds
99,Ostrovnoy,RU,68.0531,39.5131,68.38,70,71,12.8,broken clouds
100,Eyl,SO,7.9803,49.8164,84.15,48,55,26.55,broken clouds
101,Omama,JP,36.4333,139.2833,92.44,61,70,4.7,broken clouds
102,Okoneshnikovo,RU,54.8377,75.0834,67.86,64,89,13.87,light rain
103,Usak,TR,38.5,29.4167,66.18,25,0,9.82,clear sky
104,Khani,GE,41.9563,42.9566,58.57,94,99,1.83,overcast clouds
105,Kodiak,US,57.79,-152.4072,54.91,67,100,6.91,overcast clouds
106,Mount Isa,AU,-20.7333,139.5,71.37,14,0,6.91,clear sky
107,Minot,US,48.2325,-101.2963,64.62,77,0,8.05,clear sky
108,Callaway,US,30.153,-85.5699,83.91,85,0,10.36,clear sky
109,Hereford,GB,52.0568,-2.7148,64.69,83,100,4.79,overcast clouds
110,Port Elizabeth,ZA,-33.918,25.5701,48.49,87,0,9.22,clear sky
111,Mao,ES,39.8885,4.2658,73.96,100,0,3.44,clear sky
112,Puerto Leguizamo,CO,-0.1934,-74.7819,67.06,97,86,0.47,overcast clouds
113,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,75,16.11,light rain
114,Hilo,US,19.7297,-155.09,78.28,96,100,5.75,light rain
115,Sangar,RU,63.9242,127.4739,67.53,75,96,4.65,overcast clouds
116,Rocha,UY,-34.4833,-54.3333,45.93,95,100,1.9,overcast clouds
117,Tevaitoa,PF,-16.7833,-151.5,76.96,74,16,11.56,light rain
118,Mangan,IN,27.5167,88.5333,79.3,88,100,1.25,overcast clouds
119,Logan,US,41.7355,-111.8344,81.19,49,0,8.05,clear sky
120,Butaritari,KI,3.0707,172.7902,81.03,79,37,8.12,moderate rain
121,Kidal,ML,18.4411,1.4078,84.04,50,74,7.7,broken clouds
122,Alappuzha,IN,9.49,76.3264,86.0,79,100,10.4,overcast clouds
123,Muros,ES,42.7762,-9.0603,69.15,78,100,13.82,overcast clouds
124,Carnarvon,AU,-24.8667,113.6333,68.47,44,0,16.24,clear sky
125,Komsomolskiy,UZ,40.4272,71.7189,95.72,23,0,6.91,clear sky
126,Hambantota,LK,6.1241,81.1185,88.14,70,20,16.11,few clouds
127,Hwange,ZW,-18.3693,26.5019,63.64,56,15,3.42,few clouds
128,Oistins,BB,13.0667,-59.5333,80.69,78,20,14.97,few clouds
129,Manacapuru,BR,-3.2997,-60.6206,73.99,93,43,3.24,scattered clouds
130,Punta Arenas,CL,-53.15,-70.9167,33.82,86,20,17.27,few clouds
131,Australind,AU,-33.2667,115.7167,63.61,71,87,11.83,overcast clouds
132,Edd,ER,13.9297,41.6925,94.32,43,34,3.42,scattered clouds
133,Gordeyevka,RU,52.9569,31.9703,65.05,73,0,13.24,clear sky
134,Georgetown,MY,5.4112,100.3354,89.89,73,20,9.22,few clouds
135,Raudeberg,NO,61.9875,5.1352,52.47,73,99,14.63,overcast clouds
136,Guerrero Negro,MX,27.9769,-114.0611,68.65,82,1,13.31,clear sky
137,Dingle,PH,10.9995,122.6711,87.76,69,61,6.22,broken clouds
138,Kuminskiy,RU,58.6667,66.5667,70.12,42,63,3.78,broken clouds
139,Albany,US,42.6001,-73.9662,71.44,82,0,1.01,clear sky
140,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,8.05,light rain
141,Sabang,ID,5.8933,95.3214,83.59,72,100,12.35,heavy intensity rain
142,Rabo De Peixe,PT,37.8,-25.5833,67.28,79,20,3.44,few clouds
143,Tomatlan,MX,19.9333,-105.25,79.29,93,72,2.13,broken clouds
144,Port Lincoln,AU,-34.7333,135.8667,60.12,56,100,10.33,overcast clouds
145,Iesolo,IT,45.5331,12.6448,81.97,56,2,7.02,clear sky
146,Saint-Philippe,RE,-21.3585,55.7679,72.99,68,25,12.26,scattered clouds
147,Batasan,PH,12.7667,120.7833,86.25,69,52,7.72,broken clouds
148,Fort-Shevchenko,KZ,44.5086,50.263,80.56,62,98,16.11,overcast clouds
149,Suntar,RU,62.1444,117.6319,78.58,42,19,5.17,few clouds
150,Dunda,TZ,-8.1167,34.25,64.74,61,2,5.75,clear sky
151,Nogliki,RU,51.8333,143.1667,58.06,78,93,11.39,overcast clouds
152,Lasa,IT,46.6166,10.7002,67.69,71,16,2.28,few clouds
153,Codrington,AU,-38.2667,141.9667,58.64,68,100,12.71,overcast clouds
154,Khatanga,RU,71.9667,102.5,64.58,54,100,9.06,overcast clouds
155,Ketchikan,US,55.3422,-131.6461,57.67,88,20,0.0,few clouds
156,Ballina,AU,-28.8667,153.5667,60.01,98,100,21.45,overcast clouds
157,Kapaa,US,22.0752,-159.319,82.38,81,75,17.27,broken clouds
158,Lompoc,US,34.6391,-120.4579,59.14,95,100,6.91,mist
159,Korampallam,IN,8.7667,78.1,93.49,49,40,5.75,scattered clouds
160,Swanzey,US,42.8698,-72.2818,72.55,98,100,0.0,fog
161,Mount Gambier,AU,-37.8333,140.7667,55.94,69,100,11.54,overcast clouds
162,La Seyne-Sur-Mer,FR,43.0982,5.8847,80.89,63,0,1.14,clear sky
163,Magistralnyy,RU,56.1725,107.4458,68.92,67,100,2.51,overcast clouds
164,Meiganga,CM,6.5167,14.3,65.62,99,100,2.57,moderate rain
165,Udachnyy,RU,66.4167,112.4,57.45,81,100,6.6,overcast clouds
166,Mananara,MG,-16.1667,49.7667,67.24,92,61,5.57,light rain
167,Old Saybrook,US,41.2918,-72.3762,78.08,92,20,0.0,few clouds
168,Avarua,CK,-21.2078,-159.775,73.45,78,20,12.66,few clouds
169,Kovernino,RU,57.1253,43.8142,69.21,61,27,6.33,scattered clouds
170,Lethem,GY,3.3803,-59.7968,73.29,93,78,6.04,broken clouds
171,Podor,MR,16.6527,-14.9587,80.71,72,98,4.5,light rain
172,Arraial Do Cabo,BR,-22.9661,-42.0278,69.31,88,1,16.69,clear sky
173,Sao Filipe,CV,14.8961,-24.4956,73.85,84,87,6.2,overcast clouds
174,Spornoye,RU,50.8448,37.2913,57.31,94,89,9.62,light rain
175,Pak Phanang,TH,8.3511,100.202,93.22,73,54,11.45,broken clouds
176,Ciudad Del Maiz,MX,22.4,-99.6,65.17,85,71,3.67,broken clouds
177,Segovia,ES,41.1667,-4.0,67.42,32,68,2.95,broken clouds
178,Bichura,RU,50.5881,107.6022,65.1,88,100,5.93,moderate rain
179,Clausthal-Zellerfeld,DE,51.8,10.3333,60.69,94,100,8.99,overcast clouds
180,Viru,PE,-8.4167,-78.75,63.16,80,82,3.36,broken clouds
181,Bethel,US,41.3712,-73.414,79.75,81,15,3.13,few clouds
182,Maltahohe,NA,-24.8333,16.9833,48.06,44,0,3.98,clear sky
183,Chazuta,PE,-6.5742,-76.1367,73.65,80,67,0.74,broken clouds
184,Pidhaytsi,UA,49.2685,25.1334,72.03,57,0,5.57,clear sky
185,Arcoverde,BR,-8.4189,-37.0539,60.76,97,82,3.98,broken clouds
186,Iqaluit,CA,63.7506,-68.5145,38.93,100,20,2.3,few clouds
187,Xiaoyi,CN,34.6178,109.703,67.42,94,100,5.14,moderate rain
188,Canandaigua,US,42.8742,-77.288,73.33,80,29,5.01,scattered clouds
189,Bantry,IE,51.6833,-9.45,52.79,88,34,0.09,scattered clouds
190,Victoria,HK,22.2855,114.1577,95.25,67,0,4.0,clear sky
191,Buchanan,LR,5.8808,-10.0467,73.67,88,99,6.82,overcast clouds
192,Cape Canaveral,US,28.4058,-80.6048,84.07,81,0,9.22,clear sky
193,Vestmannaeyjar,IS,63.4427,-20.2734,52.12,96,100,7.74,overcast clouds
194,Kieta,PG,-6.2167,155.6333,82.99,66,60,2.95,broken clouds
195,Te Anau,NZ,-45.4167,167.7167,40.39,90,73,2.46,broken clouds
196,Sensuntepeque,SV,13.8667,-88.6333,64.85,96,98,2.64,overcast clouds
197,Griffith,US,41.5284,-87.4237,78.89,79,0,5.75,clear sky
198,Makushino,RU,55.2103,67.2442,65.41,68,88,9.35,overcast clouds
199,Naze,JP,28.3667,129.4833,88.72,75,54,13.58,broken clouds
200,Clyde River,CA,70.4692,-68.5914,37.63,100,100,5.75,light rain
201,Oussouye,SN,12.485,-16.5469,77.09,93,100,2.55,light rain
202,Padang,ID,-0.9492,100.3543,86.05,74,94,5.59,overcast clouds
203,Bayonet Point,US,28.3267,-82.6834,84.2,89,6,4.23,clear sky
204,Alihe,CN,50.5667,123.7167,83.34,46,30,6.98,scattered clouds
205,Kadnikov,RU,59.5022,40.338,71.53,57,7,3.65,clear sky
206,Shakawe,BW,-18.3667,21.85,59.49,54,76,6.85,broken clouds
207,Mangai,CD,-4.05,19.5333,72.1,75,40,1.19,scattered clouds
208,Zhigalovo,RU,54.8097,105.1578,60.78,96,100,2.24,moderate rain
209,Sur,OM,22.5667,59.5289,92.34,59,22,7.4,few clouds
210,Vardo,NO,70.3705,31.1107,55.38,94,100,8.05,overcast clouds
211,Margate,GB,51.3813,1.3862,64.31,78,70,4.0,broken clouds
212,Viedma,AR,-40.8135,-62.9967,45.1,68,100,8.14,light rain
213,Chiredzi,ZW,-21.05,31.6667,64.38,73,39,5.99,scattered clouds
214,Coahuayana,MX,18.7333,-103.6833,78.91,90,85,3.65,overcast clouds
215,Dunedin,NZ,-45.8742,170.5036,45.81,73,97,3.0,overcast clouds
216,Anderson,US,34.5334,-82.6499,78.78,78,0,5.75,clear sky
217,Sobolevo,RU,54.4299,31.8996,64.49,76,7,10.47,clear sky
218,Marystown,CA,47.1666,-55.1483,56.86,100,5,2.84,clear sky
219,Seoul,KR,37.5683,126.9778,83.59,78,75,10.36,mist
220,Hofn,IS,64.2539,-15.2082,52.34,78,37,0.4,scattered clouds
221,Beringovskiy,RU,63.05,179.3167,49.96,69,83,1.32,broken clouds
222,Atakpame,TG,7.5333,1.1333,67.77,95,69,3.69,light rain
223,Arrecife,ES,28.963,-13.5477,71.58,83,20,25.32,few clouds
224,Yeppoon,AU,-23.1333,150.7333,73.18,65,4,9.06,clear sky
225,Tautira,PF,-17.7333,-149.15,75.22,79,24,12.64,light rain
226,Marrakesh,MA,31.6315,-8.0083,82.47,36,40,6.91,scattered clouds
227,Arandis,NA,-22.4167,14.9667,64.72,27,0,14.03,clear sky
228,Millau,FR,44.0833,2.9167,64.53,50,0,2.24,clear sky
229,Sorong,ID,-0.8833,131.25,82.72,75,49,16.44,scattered clouds
230,Akdepe,TM,42.0551,59.3788,100.49,11,0,4.72,clear sky
231,Mitsamiouli,KM,-11.3847,43.2844,79.09,61,20,19.57,few clouds
232,Egvekinot,RU,66.3167,-179.1667,46.89,54,100,9.06,overcast clouds
233,Nioki,CD,-2.7167,17.6833,75.9,69,53,2.26,broken clouds
234,Chagoda,RU,59.164,35.3285,70.66,55,16,4.07,few clouds
235,Caravelas,BR,-17.7125,-39.2481,68.79,89,13,4.32,few clouds
236,Katsuura,JP,35.1333,140.3,86.02,84,30,16.55,scattered clouds
237,Cockburn Town,TC,21.4612,-71.1419,82.04,80,41,21.74,scattered clouds
238,Awbari,LY,26.5921,12.7805,78.64,32,0,8.3,clear sky
239,Butare,RW,-2.5967,29.7394,62.62,55,49,5.12,scattered clouds
240,Moerai,PF,-22.4333,-151.3333,72.28,56,3,18.39,clear sky
241,Saskylakh,RU,71.9167,114.0833,59.36,53,100,5.57,overcast clouds
242,Kokopo,PG,-4.352,152.2633,83.17,65,94,3.0,overcast clouds
243,Jiazi,CN,22.8779,116.067,89.4,67,2,10.83,clear sky
244,Ancud,CL,-41.8697,-73.8203,39.22,89,100,5.5,overcast clouds
245,Sidi Ali,DZ,36.0998,0.4206,73.51,84,20,2.86,few clouds
246,Jind,IN,29.3167,76.3167,94.1,50,100,8.25,overcast clouds
247,Lagoa,PT,39.05,-27.9833,71.24,91,100,7.67,overcast clouds
248,Bamut,RU,43.1599,45.1973,69.31,89,100,0.76,light rain
249,San Patricio,US,28.017,-97.5169,85.89,81,11,9.75,few clouds
250,Oriximina,BR,-1.7656,-55.8661,74.17,91,70,1.92,broken clouds
251,Seminole,US,28.7086,-81.2081,82.76,87,40,5.75,scattered clouds
252,Kaduna,NG,10.5222,7.4383,69.42,94,57,4.23,broken clouds
253,Makakilo City,US,21.3469,-158.0858,80.92,62,0,11.5,clear sky
254,Tocopilla,CL,-22.092,-70.1979,60.21,76,66,3.62,broken clouds
255,Kearney,US,40.6995,-99.0815,76.91,67,100,29.93,overcast clouds
256,Bengkulu,ID,-3.8004,102.2655,83.79,73,90,9.84,overcast clouds
257,Oloron-Sainte-Marie,FR,43.1944,-0.6107,69.73,87,36,3.33,scattered clouds
258,Kalpi,IN,26.1167,79.7333,88.57,64,100,6.58,moderate rain
259,Gbarnga,LR,6.9956,-9.4722,68.2,99,99,1.03,overcast clouds
260,Ribeira Grande,PT,38.5167,-28.7,72.1,88,39,2.91,scattered clouds
261,Port Hardy,CA,50.6996,-127.4199,55.58,82,20,10.36,few clouds
262,Tuatapere,NZ,-46.1333,167.6833,42.94,92,100,3.0,overcast clouds
263,Chegdomyn,RU,51.1167,133.0167,76.66,49,47,3.85,scattered clouds
264,Mareeba,AU,-17.0,145.4333,79.45,57,21,4.27,few clouds
265,Culpeper,US,38.5004,-77.9664,74.61,94,0,0.0,clear sky
